PackageName,Installer,List
7zip,scoop,base
docker-desktop,chocolatey,docker
docker-kitematic,chocolatey,docker
dotnetfx,chocolatey,base
FiraCode,chocolatey,base
less,chocolatey,base
malwarebytes,chocolatey,common
microsoft-windows-terminal,chocolatey,base
microsoft-teams,chocolatey,msteams
netfx-4.8,chocolatey,base
viscosity,chocolatey,vpn
git-with-openssh,scoop,base
ack,scoop,cli
ag,scoop,cli
bat,scoop,cli
ccat,scoop,cli
fd,scoop,cli
fzf,scoop,cli
gow,scoop,cli
jq,scoop,cli
noti,scoop,cli
onefetch,scoop,cli
aws,scoop,aws
awsSts,scoop,aws
awsQueue,scoop,aws
serverless,scoop,aws
terraform,scoop,aws
azure-cli,scoop,azure
azure-functions-core-tools,scoop,azure
terraform,scoop,azure
azuredatastudio,scoop,sql
everything,scoop,common
firefox-developer,scoop,common
gitextensions,scoop,common
keepassxc,scoop,common
nuget,scoop,common
nvm,scoop,nodejs
yarn,scoop,nodejs
insomnia-designer,scoop,common
powertoys,scoop,common
pwsh,scoop,base
python,chocolatey,base
slack,scoop,slack
mattermost,scoop,mattermost
spacesniffer,scoop,common
sysinternals,scoop,common
vscode,scoop,base
IntelliJ-IDEA,scoop,java
openjdk,scoop,java
maven,scoop,java
go,scoop,golang
GoLand,scoop,golang
Rider,scoop,dotnet
dotnet-sdk,scoop,dotnet
rustup-msvc,scoop,rust
ms-dotnettools.csharp,vs-code,dotnet
ms-azuretools.vscode-docker,vs-code,docker
dbaeumer.vscode-eslint,vs-code,nodejs
ms-vsliveshare.vsliveshare,vs-code,base
ms-vscode.powershell,vs-code,base
vscode-icons-team.vscode-icons,vs-code,common
hediet.vscode-drawio,vs-code,common
tht13.html-preview-vscode,vs-code,common
esbenp.prettier-vscode,vs-code,base
mohsen1.prettify-json,vs-code,common
2gua.rainbow-brackets,vs-code,common
ms-vscode-remote.remote-containers,vs-code,docker
ms-vscode-remote.remote-wsl,vs-code,base
rust-lang.rust,vs-code,rust
ms-mssql.mssql,vs-code,sql
hashicorp.terraform,vs-code,aws
hashicorp.terraform,vs-code,azure
ms-vscode.vscode-typescript-tslint-plugin,vs-code,nodejs
gsudo,scoop,base
